,,,,,,,,,,,,OPERADOR NOCTURNO,,,
orden,tipo,script,objeto,paquete,procedimiento,log,estado_traza,prioridad,oleada,origen_wrapper,observacion,,,,
3,DB,/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.PR_INACTIVA_COTRATO_DERIVADOS.sql,P_PROCESOS_NOCTURNOS.PR_INACTIVA_COTRATO_DERIVADOS,P_PROCESOS_NOCTURNOS,PR_INACTIVA_COTRATO_DERIVADOS,/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.PR_INACTIVA_COTRATO_DERIVADOS.log,pendiente,por-definir,por-definir,,,2,P_PROCESOS_NOCTURNOS.PR_INACTIVA_COTRATO_DERIVADOS.log,no se ejecuta,Coincide
4,DB,/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.PR_NOC_GARANTIAS_EFECTIVO.sql,P_PROCESOS_NOCTURNOS.PR_NOC_GARANTIAS_EFECTIVO,P_PROCESOS_NOCTURNOS,PR_NOC_GARANTIAS_EFECTIVO,/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.PR_NOC_GARANTIAS_EFECTIVO.log,pendiente,por-definir,por-definir,,,3,P_PROCESOS_NOCTURNOS.PR_NOC_GARANTIAS_EFECTIVO.log,no se ejecuta,Coincide
7,DB,/stbybackup/scripts_proc_nocturnos/P_SALDOS_CLIENTES.P_CALCULO_SALDOS_CANJE.sql,P_SALDOS_CLIENTES.P_CALCULO_SALDOS_CANJE,P_SALDOS_CLIENTES,P_CALCULO_SALDOS_CANJE,/stbybackup/logs_coeasy_nocturnos/P_SALDOS_CLIENTES.P_CALCULO_SALDOS_CANJE.log,pendiente,por-definir,por-definir,,,6,P_SALDOS_CLIENTES.P_CALCULO_SALDOS_CANJE.log,no se ejecuta,Coincide
10,DB,/stbybackup/scripts_proc_nocturnos/P_OPERACIONES.CAUSACION_OP_BURSATIL_DIARIA.sql,P_OPERACIONES.CAUSACION_OP_BURSATIL_DIARIA,P_OPERACIONES,CAUSACION_OP_BURSATIL_DIARIA,/stbybackup/logs_coeasy_nocturnos/P_OPERACIONES.CAUSACION_OP_BURSATIL_DIARIA.log,pendiente,por-definir,por-definir,,,9,P_OPERACIONES.CAUSACION_OP_BURSATIL_DIARIA.log,no se ejecuta,Coincide
11,DB,/stbybackup/scripts_proc_nocturnos/P_CONTABILIZAR_DIA.P_CONTAB_DIA.sql,P_CONTABILIZAR_DIA.P_CONTAB_DIA,P_CONTABILIZAR_DIA,P_CONTAB_DIA,/stbybackup/logs_coeasy_nocturnos/P_CONTABILIZAR_DIA.P_CONTAB_DIA.log,pendiente,por-definir,por-definir,,,10,P_CONTABILIZAR_DIA.P_CONTAB_DIA.log,no se ejecuta,Coincide
12,DB,/stbybackup/scripts_proc_nocturnos/P_NEGOCIOS_POSICION.CALCULAR_SALDOS_INICIO_DIA.sql,P_NEGOCIOS_POSICION.CALCULAR_SALDOS_INICIO_DIA,P_NEGOCIOS_POSICION,CALCULAR_SALDOS_INICIO_DIA,/stbybackup/logs_coeasy_nocturnos/P_NEGOCIOS_POSICION.CALCULAR_SALDOS_INICIO_DIA.log,pendiente,por-definir,por-definir,,,11,P_NEGOCIOS_POSICION.CALCULAR_SALDOS_INICIO_DIA.log,no se ejecuta,Coincide
13,DB,/stbybackup/scripts_proc_nocturnos/P_RECALCULO_RENTABILIDAD.GENERACION_RENTABILIDAD.sql,P_RECALCULO_RENTABILIDAD.GENERACION_RENTABILIDAD,P_RECALCULO_RENTABILIDAD,GENERACION_RENTABILIDAD,/stbybackup/logs_coeasy_nocturnos/P_RECALCULO_RENTABILIDAD.GENERACION_RENTABILIDAD.log,pendiente,por-definir,por-definir,,,12,P_RECALCULO_RENTABILIDAD.GENERACION_RENTABILIDAD.log,ejecutar,Coincide
16,DB,/stbybackup/scripts_proc_nocturnos/P_OPERACIONES.MAIL_VTAS_PENDIENTES.sql,P_OPERACIONES.MAIL_VTAS_PENDIENTES,P_OPERACIONES,MAIL_VTAS_PENDIENTES,/stbybackup/logs_coeasy_nocturnos/P_OPERACIONES.MAIL_VTAS_PENDIENTES.log,pendiente,por-definir,por-definir,,,15,P_OPERACIONES.MAIL_VTAS_PENDIENTES.log,no se ejecuta,Coincide
17,DB,/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.P_SALDOS_DIARIOS_CLIENTES.sql,P_PROCESOS_NOCTURNOS.P_SALDOS_DIARIOS_CLIENTES,P_PROCESOS_NOCTURNOS,P_SALDOS_DIARIOS_CLIENTES,/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.P_SALDOS_DIARIOS_CLIENTES.log,pendiente,por-definir,por-definir,,,16,P_PROCESOS_NOCTURNOS.P_SALDOS_DIARIOS_CLIENTES.log,ejecutar,Coincide
18,DB,/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.P_SALDOS_DIARIOS_DERIVADOS.sql,P_PROCESOS_NOCTURNOS.P_SALDOS_DIARIOS_DERIVADOS,P_PROCESOS_NOCTURNOS,P_SALDOS_DIARIOS_DERIVADOS,/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.P_SALDOS_DIARIOS_DERIVADOS.log,pendiente,por-definir,por-definir,,,17,P_PROCESOS_NOCTURNOS.P_SALDOS_DIARIOS_DERIVADOS.log,ejecutar,Coincide
19,DB,/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.P_SALDOS_DIARIOS_FONDOS.sql,P_PROCESOS_NOCTURNOS.P_SALDOS_DIARIOS_FONDOS,P_PROCESOS_NOCTURNOS,P_SALDOS_DIARIOS_FONDOS,/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.P_SALDOS_DIARIOS_FONDOS.log,pendiente,por-definir,por-definir,,,18,P_PROCESOS_NOCTURNOS.P_SALDOS_DIARIOS_FONDOS.log,ejecutar,Coincide
20,DB,/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.P_SALDOS_INCUMPLIDOS.sql,P_PROCESOS_NOCTURNOS.P_SALDOS_INCUMPLIDOS,P_PROCESOS_NOCTURNOS,P_SALDOS_INCUMPLIDOS,/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.P_SALDOS_INCUMPLIDOS.log,pendiente,por-definir,por-definir,,,19,P_PROCESOS_NOCTURNOS.P_SALDOS_INCUMPLIDOS.log,ejecutar,Coincide
21,DB,/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.GENERAR_IMGF_DIARIO.sql,P_PROCESOS_NOCTURNOS.GENERAR_IMGF_DIARIO,P_PROCESOS_NOCTURNOS,GENERAR_IMGF_DIARIO,/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.GENERAR_IMGF_DIARIO.log,pendiente,por-definir,por-definir,,,20,P_PROCESOS_NOCTURNOS.GENERAR_IMGF_DIARIO.log,ejecutar,Coincide
22,DB,/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.P_BORRADO_CENLINEA.sql,P_PROCESOS_NOCTURNOS.P_BORRADO_CENLINEA,P_PROCESOS_NOCTURNOS,P_BORRADO_CENLINEA,/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.P_BORRADO_CENLINEA.log,pendiente,por-definir,por-definir,,,21,P_PROCESOS_NOCTURNOS.P_BORRADO_CENLINEA.log,no se ejecuta,Coincide
23,DB,/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.PR_CUPOS_BANCOS.sql,P_PROCESOS_NOCTURNOS.PR_CUPOS_BANCOS,P_PROCESOS_NOCTURNOS,PR_CUPOS_BANCOS,/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.PR_CUPOS_BANCOS.log,pendiente,por-definir,por-definir,,,22,P_PROCESOS_NOCTURNOS.PR_CUPOS_BANCOS.log,ejecutar,Coincide
24,DB,/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.PR_DISTRIBUYE_PP_CCIAL.sql,P_PROCESOS_NOCTURNOS.PR_DISTRIBUYE_PP_CCIAL,P_PROCESOS_NOCTURNOS,PR_DISTRIBUYE_PP_CCIAL,/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.PR_DISTRIBUYE_PP_CCIAL.log,pendiente,por-definir,por-definir,,,23,P_PROCESOS_NOCTURNOS.PR_DISTRIBUYE_PP_CCIAL.log,ejecutar,Coincide
25,DB,/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.PR_NOC_CONV_REC_PAGOS.sql,P_PROCESOS_NOCTURNOS.PR_NOC_CONV_REC_PAGOS,P_PROCESOS_NOCTURNOS,PR_NOC_CONV_REC_PAGOS,/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.PR_NOC_CONV_REC_PAGOS.log,pendiente,por-definir,por-definir,,,24,P_PROCESOS_NOCTURNOS.PR_NOC_CONV_REC_PAGOS.log,ejecutar,Coincide
26,DB,/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.PR_NOC_CONTROL_CONVENIOS.sql,P_PROCESOS_NOCTURNOS.PR_NOC_CONTROL_CONVENIOS,P_PROCESOS_NOCTURNOS,PR_NOC_CONTROL_CONVENIOS,/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.PR_NOC_CONTROL_CONVENIOS.log,pendiente,por-definir,por-definir,,,25,P_PROCESOS_NOCTURNOS.PR_NOC_CONTROL_CONVENIOS.log,ejecutar,Coincide
27,DB,/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.PR_NOC_CONV_TOTAL_BANCO.sql,P_PROCESOS_NOCTURNOS.PR_NOC_CONV_TOTAL_BANCO,P_PROCESOS_NOCTURNOS,PR_NOC_CONV_TOTAL_BANCO,/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.PR_NOC_CONV_TOTAL_BANCO.log,pendiente,por-definir,por-definir,,,26,P_PROCESOS_NOCTURNOS.PR_NOC_CONV_TOTAL_BANCO.log,ejecutar,Coincide
28,DB,/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.PR_FACTURA_CONVENIOS.sql,P_PROCESOS_NOCTURNOS.PR_FACTURA_CONVENIOS,P_PROCESOS_NOCTURNOS,PR_FACTURA_CONVENIOS,/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.PR_FACTURA_CONVENIOS.log,pendiente,por-definir,por-definir,,,27,P_PROCESOS_NOCTURNOS.PR_FACTURA_CONVENIOS.log,ejecutar,Coincide
29,DB,/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.P_CONFIRMA_ORDEN_FONDOS.sql,P_PROCESOS_NOCTURNOS.P_CONFIRMA_ORDEN_FONDOS,P_PROCESOS_NOCTURNOS,P_CONFIRMA_ORDEN_FONDOS,/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.P_CONFIRMA_ORDEN_FONDOS.log,pendiente,por-definir,por-definir,,,28,P_PROCESOS_NOCTURNOS.P_CONFIRMA_ORDEN_FONDOS.log,no se ejecuta,Coincide
30,DB,/stbybackup/scripts_proc_nocturnos/P_FORMATO_LVA.PR_EJECUTA_LVA.sql,P_FORMATO_LVA.PR_EJECUTA_LVA,P_FORMATO_LVA,PR_EJECUTA_LVA,/stbybackup/logs_coeasy_nocturnos/P_FORMATO_LVA.PR_EJECUTA_LVA.log,pendiente,por-definir,por-definir,,,,P_FORMATO_LVA.PR_EJECUTA_LVA.log,,Coincide
31,DB,/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.PR_CONFIRMA_ORDEN_PRI.sql,P_PROCESOS_NOCTURNOS.PR_CONFIRMA_ORDEN_PRI,P_PROCESOS_NOCTURNOS,PR_CONFIRMA_ORDEN_PRI,/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.PR_CONFIRMA_ORDEN_PRI.log,pendiente,por-definir,por-definir,,,29,P_PROCESOS_NOCTURNOS.PR_CONFIRMA_ORDEN_PRI.log,no se ejecuta,Coincide
32,DB,/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.PR_TRANSFERENCIAS_CORLINE.sql,P_PROCESOS_NOCTURNOS.PR_TRANSFERENCIAS_CORLINE,P_PROCESOS_NOCTURNOS,PR_TRANSFERENCIAS_CORLINE,/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.PR_TRANSFERENCIAS_CORLINE.log,pendiente,por-definir,por-definir,,,30,P_PROCESOS_NOCTURNOS.PR_TRANSFERENCIAS_CORLINE.log,no se ejecuta,Coincide
33,DB,/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.PR_ACT_RENTAB_VOLATIL.sql,P_PROCESOS_NOCTURNOS.PR_ACT_RENTAB_VOLATIL,P_PROCESOS_NOCTURNOS,PR_ACT_RENTAB_VOLATIL,/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.PR_ACT_RENTAB_VOLATIL.log,pendiente,por-definir,por-definir,,,32,P_PROCESOS_NOCTURNOS.PR_ACT_RENTAB_VOLATIL.log,ejecutar,Coincide
34,DB,/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.PR_NOC_SEGMENTA_CLI.sql,P_PROCESOS_NOCTURNOS.PR_NOC_SEGMENTA_CLI,P_PROCESOS_NOCTURNOS,PR_NOC_SEGMENTA_CLI,/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.PR_NOC_SEGMENTA_CLI.log,pendiente,por-definir,por-definir,,,33,P_PROCESOS_NOCTURNOS.PR_NOC_SEGMENTA_CLI.log,no* (revision),Coincide
35,DB,/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.CALCULO_DUR_MACAULAY.sql,P_PROCESOS_NOCTURNOS.CALCULO_DUR_MACAULAY,P_PROCESOS_NOCTURNOS,CALCULO_DUR_MACAULAY,/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.CALCULO_DUR_MACAULAY.log,pendiente,por-definir,por-definir,,,31,P_PROCESOS_NOCTURNOS.CALCULO_DUR_MACAULAY.log,no se ejecuta,Coincide
36,DB,/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.MAIL_TID_CER_PENDIENTES_COMER.sql,P_PROCESOS_NOCTURNOS.MAIL_TID_CER_PENDIENTES_COMER,P_PROCESOS_NOCTURNOS,MAIL_TID_CER_PENDIENTES_COMER,/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.MAIL_TID_CER_PENDIENTES_COMER.log,pendiente,por-definir,por-definir,,,34,P_PROCESOS_NOCTURNOS.MAIL_TID_CER_PENDIENTES_COMER.log,no se ejecuta,Coincide
37,DB,/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.MAIL_TID_CER_PENDIENTES_COORD.sql,P_PROCESOS_NOCTURNOS.MAIL_TID_CER_PENDIENTES_COORD,P_PROCESOS_NOCTURNOS,MAIL_TID_CER_PENDIENTES_COORD,/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.MAIL_TID_CER_PENDIENTES_COORD.log,pendiente,por-definir,por-definir,,,35,P_PROCESOS_NOCTURNOS.MAIL_TID_CER_PENDIENTES_COORD.log,no se ejecuta,Coincide
38,DB,/stbybackup/scripts_proc_nocturnos/PROD.P_PROCESOS_NOCTURNOS.P_BORRADOS_DIARIOS.sql,P_PROCESOS_NOCTURNOS.P_BORRADOS_DIARIOS,P_PROCESOS_NOCTURNOS,P_BORRADOS_DIARIOS,/stbybackup/logs_coeasy_nocturnos/PROD.P_PROCESOS_NOCTURNOS.P_BORRADOS_DIARIOS.log,pendiente,por-definir,por-definir,,,36,PROD.P_PROCESOS_NOCTURNOS.P_BORRADOS_DIARIOS.log,no se ejecuta,Coincide
39,DB,/stbybackup/scripts_proc_nocturnos/PROD.P_PROCESOS_NOCTURNOS.PR_LIMPIAR_INFOVALMER.sql,PROD.P_PROCESOS_NOCTURNOS.PR_LIMPIAR_INFOVALMER,P_PROCESOS_NOCTURNOS,PR_LIMPIAR_INFOVALMER,/stbybackup/logs_coeasy_nocturnos/PROD.P_PROCESOS_NOCTURNOS.PR_LIMPIAR_INFOVALMER.log,pendiente,por-definir,por-definir,,,37,PROD.P_PROCESOS_NOCTURNOS.PR_LIMPIAR_INFOVALMER.log,no se ejecuta,Coincide
40,DB,/stbybackup/scripts_proc_nocturnos/PROD.P_GRP_RELACIONADOS.PR_ACTUALIZA_GRUPOS.sql,PROD.P_GRP_RELACIONADOS.PR_ACTUALIZA_GRUPOS,P_GRP_RELACIONADOS,PR_ACTUALIZA_GRUPOS,/stbybackup/logs_coeasy_nocturnos/PROD.P_GRP_RELACIONADOS.PR_ACTUALIZA_GRUPOS.log,pendiente,por-definir,por-definir,,,38,PROD.P_GRP_RELACIONADOS.PR_ACTUALIZA_GRUPOS.log,ejecutar,Coincide
41,DB,/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.P_CREA_SALDOS_FONDOS_PORTAL.sql,P_PROCESOS_NOCTURNOS.P_CREA_SALDOS_FONDOS_PORTAL,P_PROCESOS_NOCTURNOS,P_CREA_SALDOS_FONDOS_PORTAL,/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.P_CREA_SALDOS_FONDOS_PORTAL.log,pendiente,por-definir,por-definir,,,39,P_PROCESOS_NOCTURNOS.P_CREA_SALDOS_FONDOS_PORTAL.log,ejecutar,Coincide
42,DB,/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.P_CREA_SALDOS_CUENTAS_PORTAL.sql,P_PROCESOS_NOCTURNOS.P_CREA_SALDOS_CUENTAS_PORTAL,P_PROCESOS_NOCTURNOS,P_CREA_SALDOS_CUENTAS_PORTAL,/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.P_CREA_SALDOS_CUENTAS_PORTAL.log,pendiente,por-definir,por-definir,,,40,P_PROCESOS_NOCTURNOS.P_CREA_SALDOS_CUENTAS_PORTAL.log,ejecutar,Coincide
43,DB,/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.P_CREA_SALDOS_DERIVADOS_PORTAL.sql,P_PROCESOS_NOCTURNOS.P_CREA_SALDOS_DERIVADOS_PORTAL,P_PROCESOS_NOCTURNOS,P_CREA_SALDOS_DERIVADOS_PORTAL,/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.P_CREA_SALDOS_DERIVADOS_PORTAL.log,pendiente,por-definir,por-definir,,,44,P_PROCESOS_NOCTURNOS.P_CREA_SALDOS_DERIVADOS_PORTAL.log,ejecutar,Coincide
44,DB,/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.P_PROCESO_PRECIA.sql,P_PROCESOS_NOCTURNOS.P_PROCESO_PRECIA,P_PROCESOS_NOCTURNOS,P_PROCESO_PRECIA,/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.P_PROCESO_PRECIA.log,pendiente,por-definir,por-definir,,,45,P_PROCESOS_NOCTURNOS.P_PROCESO_PRECIA.log,no se ejecuta,Coincide
49,DB,/stbybackup/scripts_proc_nocturnos/P_PAGOS_DIVIDENDOS.PROCESO_NOCTURNO.sql,P_PAGOS_DIVIDENDOS.PROCESO_NOCTURNO,P_PAGOS_DIVIDENDOS,PROCESO_NOCTURNO,/stbybackup/logs_coeasy_nocturnos/P_PAGOS_DIVIDENDOS.PROCESO_NOCTURNO.log,pendiente,por-definir,por-definir,,,46,P_PAGOS_DIVIDENDOS.PROCESO_NOCTURNO.log,no se ejecuta,Coincide
50,DB,/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.PR_MARCACION_ADMON_VAL.sql,P_PROCESOS_NOCTURNOS.PR_MARCACION_ADMON_VAL,P_PROCESOS_NOCTURNOS,PR_MARCACION_ADMON_VAL,/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.PR_MARCACION_ADMON_VAL.log,pendiente,por-definir,por-definir,,,48,P_PROCESOS_NOCTURNOS.PR_MARCACION_ADMON_VAL.log,no se ejecuta,Coincide
52,DB,/stbybackup/scripts_proc_nocturnos/PROD.P_PROCESOS_NOCTURNOS.PR_BORRAR_INF_PIP.sql,PROD.P_PROCESOS_NOCTURNOS.PR_BORRAR_INF_PIP,P_PROCESOS_NOCTURNOS,PR_BORRAR_INF_PIP,/stbybackup/logs_coeasy_nocturnos/PROD.P_PROCESOS_NOCTURNOS.PR_BORRAR_INF_PIP.log,pendiente,por-definir,por-definir,,,49,PROD.P_PROCESOS_NOCTURNOS.PR_BORRAR_INF_PIP.log,no se ejecuta,Coincide
53,DB,/stbybackup/scripts_proc_nocturnos/P_PROCESOS_NOCTURNOS.PR_BLOQUEO_USUARIO_NOCTURNO.sql,P_PROCESOS_NOCTURNOS.PR_BLOQUEO_USUARIO_NOCTURNO,P_PROCESOS_NOCTURNOS,PR_BLOQUEO_USUARIO_NOCTURNO,/stbybackup/logs_coeasy_nocturnos/P_PROCESOS_NOCTURNOS.PR_BLOQUEO_USUARIO_NOCTURNO.log,pendiente,por-definir,por-definir,,,50,P_PROCESOS_NOCTURNOS.PR_BLOQUEO_USUARIO_NOCTURNO.log,no se ejecuta,Coincide
59,DB,/stbybackup/scripts_proc_nocturnos/OPERACIONES_DIARIAS.sql,P_NEGOCIOS_POSICION.COMISIONES_SIMULTANEAS_PP,P_NEGOCIOS_POSICION,COMISIONES_SIMULTANEAS_PP,/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log,pendiente,alta,1,OPERACIONES_DIARIAS.sql,Extraido de OPERACIONES_DIARIAS.sql linea 15,,,,
61,DB,/stbybackup/scripts_proc_nocturnos/COSTOS.sql,P_COSTOS.GENERAR_COSTOS_DECEVAL,P_COSTOS,GENERAR_COSTOS_DECEVAL,/stbybackup/logs_coeasy_nocturnos/COSTOS.log,pendiente,alta,1,COSTOS.sql,Extraido de COSTOS.sql linea 15,,,,
62,DB,/stbybackup/scripts_proc_nocturnos/COSTOS.sql,P_COSTOS.PR_COSTOS_MEC,P_COSTOS,PR_COSTOS_MEC,/stbybackup/logs_coeasy_nocturnos/COSTOS.log,pendiente,alta,1,COSTOS.sql,Extraido de COSTOS.sql linea 24,,,,
63,DB,/stbybackup/scripts_proc_nocturnos/COSTOS.sql,P_ORDENES_COMERCIAL.ANULACION_CANCELACION_ORDENES,P_ORDENES_COMERCIAL,ANULACION_CANCELACION_ORDENES,/stbybackup/logs_coeasy_nocturnos/COSTOS.log,pendiente,media,2,COSTOS.sql,Extraido de COSTOS.sql linea 32,,,,
64,DB,/stbybackup/scripts_proc_nocturnos/COSTOS.sql,P_ORDENES_COMERCIAL.P_NUMERACION_SUPER,P_ORDENES_COMERCIAL,P_NUMERACION_SUPER,/stbybackup/logs_coeasy_nocturnos/COSTOS.log,pendiente,media,2,COSTOS.sql,Extraido de COSTOS.sql linea 33,,,,
65,DB,/stbybackup/scripts_proc_nocturnos/COSTOS.sql,P_FONDOS_WEB.RENTABILIDAD_FONDOS,P_FONDOS_WEB,RENTABILIDAD_FONDOS,/stbybackup/logs_coeasy_nocturnos/COSTOS.log,pendiente,media,2,COSTOS.sql,Extraido de COSTOS.sql linea 38,,,,
66,DB,/stbybackup/scripts_proc_nocturnos/COSTOS.sql,P_INACTIVA_CLIENTES.INACTIVAR_CLIENTES_UNICA_OP,P_INACTIVA_CLIENTES,INACTIVAR_CLIENTES_UNICA_OP,/stbybackup/logs_coeasy_nocturnos/COSTOS.log,pendiente,media,2,COSTOS.sql,Extraido de COSTOS.sql linea 45,,,,
67,DB,/stbybackup/scripts_proc_nocturnos/COSTOS.sql,P_REPORTES.GENERAR_CRITERIOS_COMERCIAL,P_REPORTES,GENERAR_CRITERIOS_COMERCIAL,/stbybackup/logs_coeasy_nocturnos/COSTOS.log,pendiente,media,2,COSTOS.sql,Extraido de COSTOS.sql linea 52,,,,
68,DB,/stbybackup/scripts_proc_nocturnos/EXTRACTO.sql,P_MAIL_EXTRACTO_CLIENTE.MAIL_PROCESO_CLIENTE,P_MAIL_EXTRACTO_CLIENTE,MAIL_PROCESO_CLIENTE,/stbybackup/logs_coeasy_nocturnos/EXTRACTO.log,pendiente,media,2,EXTRACTO.sql,Extraido de EXTRACTO.sql linea 6,,,,
69,DB,/stbybackup/scripts_proc_nocturnos/EXTRACTO.sql,P_MAIL_EXTRACTO_CLIENTE.MAIL_PROCESO_EXTRACTO_FONDOS,P_MAIL_EXTRACTO_CLIENTE,MAIL_PROCESO_EXTRACTO_FONDOS,/stbybackup/logs_coeasy_nocturnos/EXTRACTO.log,pendiente,media,2,EXTRACTO.sql,Extraido de EXTRACTO.sql linea 9,,,,
70,DB,/stbybackup/scripts_proc_nocturnos/EXTRACTO.sql,P_EXTRACTO_PRUEBAS.MAIL_PROCESO_EXTRACTO_FONDOS,P_EXTRACTO_PRUEBAS,MAIL_PROCESO_EXTRACTO_FONDOS,/stbybackup/logs_coeasy_nocturnos/EXTRACTO.log,pendiente,media,2,EXTRACTO.sql,Extraido de EXTRACTO.sql linea 11,,,,
71,DB,/stbybackup/scripts_proc_nocturnos/TITULOS.sql,P_CLIENTES_TITULOS.GENERAR_SALDOS_DIA,P_CLIENTES_TITULOS,GENERAR_SALDOS_DIA,/stbybackup/logs_coeasy_nocturnos/TITULOS.log,pendiente,media,2,TITULOS.sql,Extraido de TITULOS.sql linea 3,,,,
72,DB,/stbybackup/scripts_proc_nocturnos/TITULOS.sql,P_CLIENTES_TITULOS.COMPROMISOS,P_CLIENTES_TITULOS,COMPROMISOS,/stbybackup/logs_coeasy_nocturnos/TITULOS.log,pendiente,media,2,TITULOS.sql,Extraido de TITULOS.sql linea 13,,,,
75,DB,/stbybackup/scripts_proc_nocturnos/DIVISAS.sql,P_DIVISAS.P_MAIL_FORMATO_230,P_DIVISAS,P_MAIL_FORMATO_230,/stbybackup/logs_coeasy_nocturnos/DIVISAS.log,pendiente,alta,1,DIVISAS.sql,Extraido de DIVISAS.sql linea 9,,,,
76,DB,/stbybackup/scripts_proc_nocturnos/DIVISAS.sql,P_DIVISAS.P_MAIL_FORMATO_465,P_DIVISAS,P_MAIL_FORMATO_465,/stbybackup/logs_coeasy_nocturnos/DIVISAS.log,pendiente,alta,1,DIVISAS.sql,Extraido de DIVISAS.sql linea 13,,,,
78,DB,/stbybackup/scripts_proc_nocturnos/DIVISAS_1.sql,P_DIVISAS.P_MAIL_EXCEL_230,P_DIVISAS,P_MAIL_EXCEL_230,/stbybackup/logs_coeasy_nocturnos/DIVISAS_1.log,pendiente,alta,1,DIVISAS_1.sql,Extraido de DIVISAS_1.sql linea 8,,,,